Rank,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population
44,Peru,Lima,South America,34049588,33304756,30711863
13,Philippines,Manila,Asia,115559009,112190977,103031365
37,Poland,Warsaw,Europe,39857145,38428366,38553146
92,Portugal,Lisbon,Europe,10270865,10298192,10365435
136,Puerto Rico,San Juan,North America,3252407,3271564,3497335
143,Qatar,Doha,Asia,2695122,2760385,2414573
114,Republic of the Congo,Brazzaville,Africa,5970424,5702174,5064386
161,Reunion,Saint-Denis,Africa,974052,957822,922495
64,Romania,Bucharest,Europe,19659267,19442038,19906079
9,Russia,Moscow,Europe,144713314,145617329,144668389
76,Rwanda,Kigali,Africa,13776698,13146362,11642959
228,Saint Barthelemy,Gustavia,North America,10967,10681,9643
211,Saint Kitts and Nevis,Basseterre,North America,47657,47642,47790
190,Saint Lucia,Castries,North America,179857,179237,175623
220,Saint Martin,Marigot,North America,31791,32552,35020
229,Saint Pierre and Miquelon,Saint-Pierre,North America,5862,5906,5978
199,Saint Vincent and the Grenadines,Kingstown,North America,103948,104632,106482
188,Samoa,Apia,Oceania,222382,214929,203571
218,San Marino,San Marino,Europe,33660,34007,33570
187,Sao Tome and Principe,São Tomé,Africa,227380,218641,201124
41,Saudi Arabia,Riyadh,Asia,36408820,35997107,32749848
72,Senegal,Dakar,Africa,17316449,16436119,14356181
105,Serbia,Belgrade,Europe,7221365,7358005,7519496
196,Seychelles,Victoria,Africa,107118,105530,99240
102,Sierra Leone,Freetown,Africa,8605718,8233969,7314773
113,Singapore,Singapore,Asia,5975689,5909869,5650018
214,Sint Maarten,Philipsburg,North America,44175,43621,40205
116,Slovakia,Bratislava,Europe,5643453,5456681,5424444
148,Slovenia,Ljubljana,Europe,2119844,2117641,2080862
166,Solomon Islands,Honiara,Oceania,724273,691191,612660
70,Somalia,Mogadishu,Africa,17597511,16537016,13763906
24,South Africa,Pretoria,Africa,59893885,58801927,55876504
29,South Korea,Seoul,Asia,51815810,51844690,50994401
86,South Sudan,Juba,Africa,10913164,10606227,11194299
30,Spain,Madrid,Europe,47558630,47363807,46431342
61,Sri Lanka,Colombo,Asia,21832143,21715079,21336697
32,Sudan,Khartoum,Africa,46874204,44440486,38171178
170,Suriname,Paramaribo,South America,618040,607065,575475
87,Sweden,Stockholm,Europe,10549347,10368969,9849349
101,Switzerland,Bern,Europe,8740472,8638613,8281732
60,Syria,Damascus,Asia,22125249,20772595,19205178
57,Taiwan,Taipei,Asia,23893394,23821464,23512136
95,Tajikistan,Dushanbe,Asia,9952787,9543207,8524063
22,Tanzania,Dodoma,Africa,65497748,61704518,52542823
20,Thailand,Bangkok,Asia,71697030,71475664,70294397
155,Timor-Leste,Dili,Asia,1341296,1299995,1205813
100,Togo,Lomé,Africa,8848699,8442580,7473229
233,Tokelau,Nukunonu,Oceania,1871,1827,1454
197,Tonga,Nuku‘alofa,Oceania,106858,105254,106122
153,Trinidad and Tobago,Port-of-Spain,North America,1531044,1518147,1460177
79,Tunisia,Tunis,Africa,12356117,12161723,11557779
18,Turkey,Ankara,Asia,85341241,84135428,79646178
111,Turkmenistan,Ashgabat,Asia,6430770,6250438,5766431
212,Turks and Caicos Islands,Cockburn Town,North America,45703,44276,36538
227,Tuvalu,Funafuti,Oceania,11312,11069,10877
31,Uganda,Kampala,Africa,47249585,44404611,37477356
38,Ukraine,Kiev,Europe,39701739,43909666,44982564
97,United Arab Emirates,Abu Dhabi,Asia,9441129,9287289,8916899
21,United Kingdom,London,Europe,67508936,67059474,65224364
3,United States,"Washington, D.C.",North America,338289857,335942003,324607776
200,United States Virgin Islands,Charlotte Amalie,North America,99465,100442,102803
133,Uruguay,Montevideo,South America,3422794,3429086,3402818
43,Uzbekistan,Tashkent,Asia,34627652,33526656,30949417
181,Vanuatu,Port-Vila,Oceania,326740,311685,276438
234,Vatican City,Vatican City,Europe,510,520,564
51,Venezuela,Caracas,South America,28301696,28490453,30529716
16,Vietnam,Hanoi,Asia,98186856,96648685,92191398
226,Wallis and Futuna,Mata-Utu,Oceania,11572,11655,12182
172,Western Sahara,El Aaiún,Africa,575986,556048,491824
46,Yemen,Sanaa,Asia,33696614,32284046,28516545
63,Zambia,Lusaka,Africa,20017675,18927715,16248230
74,Zimbabwe,Harare,Africa,16320537,15669666,14154937
